本地化键名,中文名,食品类型Java枚举名
cabbage,卷心菜,CABBAGE
tomato,番茄,TOMATO
onion,洋葱,ONION
fried_egg,煎鸡蛋,FRIED_EGG
apple_cider,苹果酒,APPLE_CIDER
tomato_sauce,番茄酱,TOMATO_SAUCE
wheat_dough,面团,WHEAT_DOUGH
raw_pasta,生意面,RAW_PASTA
pumpkin_slice,南瓜片,PUMPKIN_SLICE
cabbage_leaf,卷心菜叶,CABBAGE_LEAF
minced_beef,牛肉馅,MINCED_BEEF
beef_patty,牛肉饼,BEEF_PATTY
chicken_cuts,生鸡肉丁,CHICKEN_CUTS
cooked_chicken_cuts,熟鸡肉丁,COOKED_CHICKEN_CUTS
bacon,生培根,BACON
cooked_bacon,熟培根,COOKED_BACON
cod_slice,生鳕鱼片,COD_SLICE
cooked_cod_slice,熟鳕鱼片,COOKED_COD_SLICE
salmon_slice,生鲑鱼片,SALMON_SLICE
cooked_salmon_slice,熟鲑鱼片,COOKED_SALMON_SLICE
mutton_chops,生羊排,MUTTON_CHOP
cooked_mutton_chops,熟羊排,COOKED_MUTTON_CHOP
ham,火腿,HAM
smoked_ham,烟熏火腿,SMOKED_HAM
pie_crust,馅饼酥皮,PIE_CRUST
cake_slice,蛋糕切片,CAKE_SLICE
apple_pie_slice,苹果派切片,PIE_SLICE
sweet_berry_cheesecake_slice,甜浆果芝士派切片,PIE_SLICE
chocolate_pie_slice,巧克力派切片,PIE_SLICE
sweet_berry_cookie,甜浆果曲奇,COOKIES
honey_cookie,蜂蜜曲奇,COOKIES
melon_popsicle,西瓜冰棍,POPSICLE
fruit_salad,水果沙拉,FRUIT_SALAD
mixed_salad,混合沙拉,MIXED_SALAD
nether_salad,下界沙拉,NETHER_SALAD
barbecue_stick,烧烤串,BARBECUE_STICK
egg_sandwich,鸡蛋三明治,EGG_SANDWICH
chicken_sandwich,鸡肉三明治,CHICKEN_SANDWICH
hamburger,汉堡包,HAMBURGER
bacon_sandwich,培根三明治,BACON_SANDWICH
mutton_wrap,羊肉卷饼,MUTTON_WRAP
dumplings,饺子,DUMPLINGS
stuffed_potato,填馅马铃薯,STUFFED_POTATO
cabbage_rolls,卷心菜卷,CABBAGE_ROLLS
cooked_rice,米饭,COOKED_RICE
beef_stew,牛肉炖,BEEF_STEW
chicken_soup,鸡肉汤,CHICKEN_SOUP
vegetable_soup,蔬菜汤,VEGETABLE_SOUP
fish_stew,鱼肉炖,FISH_STEW
fried_rice,炒饭,FRIED_RICE
pumpkin_soup,南瓜汤,PUMPKIN_SOUP
baked_cod_stew,烘焙鳕鱼炖,BAKED_COD_STEW
noodle_soup,面条汤,NOODLE_SOUP
bacon_and_eggs,培根鸡蛋,BACON_AND_EGGS
pasta_with_meatballs,肉丸意面,PASTA_WITH_MEATBALLS
pasta_with_mutton_chop,羊排意面,PASTA_WITH_MUTTON_CHOP
roasted_mutton_chops,烤羊排,ROASTED_MUTTON_CHOPS
vegetable_noodles,蔬菜面,VEGETABLE_NOODLES
steak_and_potatoes,牛排配土豆,STEAK_AND_POTATOES
ratatouille,蔬菜杂烩,RATATOUILLE
squid_ink_pasta,鱿鱼墨面,SQUID_INK_PASTA
grilled_salmon,香烤鲑鱼,GRILLED_SALMON
roast_chicken,盘装烤鸡,ROAST_CHICKEN
stuffed_pumpkin,碗装填馅南瓜,STUFFED_PUMPKIN
honey_glazed_ham,盘装蜜汁火腿,HONEY_GLAZED_HAM
shepherds_pie,盘装牧羊人派,SHEPHERDS_PIE
dog_food,狗粮,DOG_FOOD